Park,ParkLatitude,ParkLongitude,Venue,VenueLatitude,VenueLongitude,VenueCategory
Jefferson Park,47.568067,-122.31144099999999,Buddha Bruddah,47.583285,-122.302322,Hawaiian Restaurant
Jefferson Park,47.568067,-122.31144099999999,Super Six,47.55713696687943,-122.28551648947287,Gastropub
Jefferson Park,47.568067,-122.31144099999999,Hudson,47.5573375476594,-122.33868697730034,New American Restaurant
Jefferson Park,47.568067,-122.31144099999999,Dim Sum House,47.55911341940424,-122.30409624434178,Dim Sum Restaurant
Jefferson Park,47.568067,-122.31144099999999,Kezira Cafe and Restaurant,47.556114,-122.28323300000001,Ethiopian Restaurant
Jefferson Park,47.568067,-122.31144099999999,La Teranga,47.557672242194045,-122.28507419561534,African Restaurant
Jefferson Park,47.568067,-122.31144099999999,Square Knot Diner,47.548955,-122.316735,Diner
Jefferson Park,47.568067,-122.31144099999999,MOD Pizza,47.56922,-122.28983,Pizza Place
Jefferson Park,47.568067,-122.31144099999999,Blue Water Taco Grill,47.57592854446613,-122.33402618516028,Taco Place
Jefferson Park,47.568067,-122.31144099999999,Thien Phat,47.57319398599626,-122.29401292244427,Vietnamese Restaurant
Jefferson Park,47.568067,-122.31144099999999,Ellenos,47.550944,-122.319057,Greek Restaurant
Jefferson Park,47.568067,-122.31144099999999,Sisters and Brothers,47.54592880637447,-122.31737022427498,Fried Chicken Joint
Jefferson Park,47.568067,-122.31144099999999,Brother Joe,47.5514394534954,-122.3192061586585,Café
Jefferson Park,47.568067,-122.31144099999999,The Conservatory,47.55038388786066,-122.31816001873776,Café
Jefferson Park,47.568067,-122.31144099999999,Nine Pies Pizza,47.567904788933184,-122.3349894604826,Pizza Place
Jefferson Park,47.568067,-122.31144099999999,Willie's Taste of Soul Bar-B-Que,47.57204193701894,-122.29349186187964,BBQ Joint
Jefferson Park,47.568067,-122.31144099999999,Yak's Teriyaki,47.57363345132044,-122.32952195807256,Japanese Restaurant
Jefferson Park,47.568067,-122.31144099999999,Taco Time,47.583201572453255,-122.30139101380928,Taco Place
Jefferson Park,47.568067,-122.31144099999999,Hangar Cafe,47.5467117660077,-122.31625571307241,French Restaurant
Jefferson Park,47.568067,-122.31144099999999,Lect's Soup Stop,47.55415392967776,-122.32524528440165,Soup Place
Jefferson Park,47.568067,-122.31144099999999,El Sirenito,47.54998372639435,-122.31790545219175,Mexican Restaurant
Jefferson Park,47.568067,-122.31144099999999,Wingstop,47.574461,-122.295028,Wings Joint
Jefferson Park,47.568067,-122.31144099999999,Pho Cyclo Cafe,47.58137652795136,-122.33400631680084,Vietnamese Restaurant
Jefferson Park,47.568067,-122.31144099999999,Rookies Sports Bar & Grill,47.55782898132812,-122.28428554993344,American Restaurant
Jefferson Park,47.568067,-122.31144099999999,Off the Rez,47.58065666890632,-122.33478746097703,Food Truck
Jefferson Park,47.568067,-122.31144099999999,Asia Ginger Teriyaki & Roll,47.566952159496694,-122.32974356281237,Japanese Restaurant
Jefferson Park,47.568067,-122.31144099999999,PICK-QUICK Drive In,47.576298,-122.32816799999999,Burger Joint
Jefferson Park,47.568067,-122.31144099999999,SUBWAY,47.581933865461146,-122.30055506784231,Sandwich Place
Jefferson Park,47.568067,-122.31144099999999,El Sombrero,47.55809892962339,-122.28503113156448,Mexican Restaurant
Jefferson Park,47.568067,-122.31144099999999,Farestart Cafe,47.58410727200492,-122.3014830673638,Café
Jefferson Park,47.568067,-122.31144099999999,Pagliacci,47.55776528321408,-122.28519040503167,Pizza Place
Jefferson Park,47.568067,-122.31144099999999,Plum Burgers,47.580014705091955,-122.33480497079641,Food Truck
Jefferson Park,47.568067,-122.31144099999999,Pecos Pit BBQ,47.582047,-122.334053,BBQ Joint
